ID,Fabric_Type,Color,Gender,measurement_units,Price (₦),Season,Occasion,Location,Stitch_Quality,Style_Type,Sold_Status
1,Brocade,orange,Male,Meters,6515,festival,Casual,Ibadan,High,Fashion,Slow
2,Licra,pitch,Male,t,4613,festival,Office,Abuja,Low,Fashion,Slow
3,Silk,lilac,Male,t,6030,normal,Church,Ibadan,High,Fashion,Slow
4,Sevenstar,Black,Female,t,2071,festival,Office,Ibadan,Medium,Casual,Slow
5,Rib,Green,Male,t,2659,normal,Church,Ibadan,Medium,Traditional,Fast
6,Brocade,orange,Male,t,5292,normal,Wedding,Benin,Medium,Fashion,Fast
7,Chinox,Olive,Female,t,6752,normal,Church,Enugu,Medium,Corporate,Slow
8,Cashmen,Violet,Female,t,4968,festival,Office,Lagos,Low,Traditional,Slow
9,Milkado,Yellow,Male,t,5997,normal,Party,Lagos,Low,Fashion,Fast
10,Damask,pitch,Female,t,3974,normal,Party,Kano,Medium,Fashion,Fast
11,Cashmen,wine,Male,t,5279,normal,Office,Kano,Medium,Traditional,Fast
12,Linen,White,Female,t,3342,festival,Party,Lagos,High,Casual,Fast
13,Rib,lilac,Female,t,5367,festival,Party,Enugu,Medium,Casual,Slow
14,Licra,Blue,Female,t,3844,festival,Office,Abeokuta,Low,Traditional,Slow
15,Sevenstar,orange,Male,t,6922,normal,Party,Benin,Medium,Casual,Fast
16,Rib,Olive,Male,t,2606,normal,Church,Benin,High,Corporate,Fast
17,Chinox,magenta,Female,t,6396,normal,Casual,Ibadan,Medium,Casual,Slow
18,Cashmen,Pink,Male,t,3381,festival,Casual,Kano,Medium,Fashion,Slow
19,Sevenstar,Blue,Male,t,7094,festival,Office,Lagos,Low,Corporate,Slow
20,Silk,lilac,Male,t,6183,normal,Office,Abuja,Low,Corporate,Slow
21,Silk,Cream,Male,t,3860,normal,Party,Abeokuta,High,Corporate,Fast
22,Rib,Yellow,Male,t,3829,normal,Casual,Abeokuta,Medium,Traditional,Slow
23,Licra,Black,Female,t,3231,festival,Wedding,Abeokuta,Medium,Corporate,Slow
24,Licra,Brown,Male,t,4463,festival,Wedding,Kano,Medium,Casual,Fast
25,Damask,Yellow,Male,t,6407,normal,Party,Kano,Low,Traditional,Fast
26,Jonkoso,Red,Female,t,6109,festival,Office,Ibadan,High,Traditional,Fast
27,Chinox,Violet,Male,t,4094,normal,Wedding,Ibadan,Low,Traditional,Fast
28,Cashmen,Yellow,Female,t,6525,festival,Casual,Abuja,High,Traditional,Fast
29,Linen,orange,Male,t,5763,normal,Church,Abeokuta,Low,Fashion,Fast
30,Silk,lilac,Female,t,7222,normal,Office,Abuja,High,Traditional,Slow
31,Crepe,Olive,Female,t,4362,normal,Wedding,Abeokuta,Low,Corporate,Fast
32,Brocade,Pink,Male,t,5486,festival,Party,Ibadan,Medium,Corporate,Slow
33,Rib,pitch,Female,t,2112,normal,Office,Abuja,High,Fashion,Slow
34,Brocade,Yellow,Female,t,7843,festival,Office,Benin,Medium,Traditional,Fast
35,Crepe,Blue,Male,t,7022,normal,Casual,Lagos,High,Traditional,Slow
36,Sevenstar,Brown,Male,t,5614,festival,Office,Enugu,Low,Corporate,Fast
37,Irish,lilac,Female,t,4407,festival,Party,Kano,Medium,Fashion,Fast
38,Sevenstar,Black,Male,t,5867,normal,Wedding,Abeokuta,Medium,Fashion,Fast
39,Jonkoso,Cream,Male,t,4113,festival,Party,Port Harcourt,Low,Corporate,Fast
40,Cashmen,Cream,Female,t,4276,normal,Church,Abeokuta,High,Corporate,Fast
41,Linen,orange,Male,t,3571,normal,Office,Lagos,High,Corporate,Slow
42,Silk,Black,Female,t,3640,festival,Office,Benin,High,Casual,Slow
43,Licra,Grey,Female,t,2085,normal,Party,Lagos,Low,Fashion,Fast
44,Linen,magenta,Female,t,6287,festival,Wedding,Benin,Low,Casual,Slow
45,Milkado,lilac,Female,t,7814,festival,Church,Ibadan,Low,Casual,Slow
46,Damask,magenta,Male,t,2630,normal,Party,Benin,Low,Fashion,Fast
47,Rib,Cream,Female,t,7690,festival,Party,Enugu,High,Casual,Fast
48,Jeans,Brown,Male,t,7568,festival,Office,Lagos,High,Fashion,Fast
49,Rib,wine,Female,t,2149,festival,Wedding,Port Harcourt,High,Fashion,Fast
50,Sevenstar,Violet,Male,t,6949,normal,Wedding,Ibadan,High,Casual,Slow
51,Silk,pitch,Female,t,6750,normal,Party,Lagos,Medium,Traditional,Fast
52,Jeans,lilac,Male,t,4592,normal,Party,Abuja,High,Casual,Slow
53,Licra,pitch,Male,t,2795,normal,Office,Abeokuta,High,Corporate,Fast
54,Irish,wine,Male,t,6001,normal,Wedding,Enugu,Low,Corporate,Slow
55,Licra,lilac,Male,t,2354,normal,Church,Lagos,High,Casual,Fast
56,Crepe,Yellow,Female,t,2401,normal,Wedding,Enugu,Low,Traditional,Fast
57,Linen,Red,Female,t,2311,festival,Office,Benin,Medium,Corporate,Slow
58,Silk,White,Male,t,6169,normal,Office,Kano,Low,Traditional,Fast
59,Chinox,wine,Male,t,2736,normal,Wedding,Abuja,Medium,Fashion,Fast
60,Brocade,Black,Male,t,2566,normal,Office,Enugu,High,Traditional,Slow
61,Milkado,Grey,Male,t,5051,festival,Church,Kano,High,Traditional,Fast
62,Chinox,magenta,Female,t,3284,festival,Wedding,Enugu,Low,Casual,Slow
63,Chinox,Violet,Female,t,7366,normal,Party,Lagos,Low,Traditional,Fast
64,Crepe,wine,Male,t,7474,festival,Casual,Abuja,Medium,Casual,Slow
65,Linen,White,Male,t,5003,festival,Casual,Abeokuta,Low,Corporate,Slow
66,Brocade,Red,Male,t,7459,normal,Party,Abuja,High,Fashion,Fast
67,Jeans,Grey,Male,t,5965,normal,Office,Benin,Low,Casual,Fast
68,Brocade,Yellow,Male,t,5090,normal,Party,Benin,Medium,Casual,Fast
69,Jeans,Olive,Female,t,6198,normal,Wedding,Port Harcourt,Medium,Traditional,Fast
70,Jonkoso,orange,Male,t,2701,festival,Wedding,Kano,Low,Fashion,Fast
71,Damask,White,Female,t,3409,festival,Church,Enugu,High,Corporate,Slow
72,Cashmen,Cream,Male,t,6192,festival,Party,Abuja,Medium,Fashion,Fast
73,Cashmen,Pink,Female,t,4578,festival,Party,Lagos,Medium,Fashion,Fast
74,Jonkoso,magenta,Female,t,5940,festival,Wedding,Enugu,Low,Traditional,Fast
75,Linen,Pink,Female,t,2427,festival,Wedding,Benin,Medium,Corporate,Fast
76,Crepe,pitch,Female,t,7568,festival,Church,Lagos,Low,Traditional,Fast
77,Irish,orange,Female,t,3761,normal,Office,Port Harcourt,Medium,Casual,Slow
78,Brocade,Blue,Female,t,3997,festival,Party,Lagos,Low,Traditional,Fast
79,Damask,magenta,Female,t,5078,festival,Party,Abeokuta,High,Traditional,Fast
80,Milkado,Red,Female,t,7081,festival,Church,Enugu,High,Corporate,Fast
81,Linen,Grey,Male,t,7001,festival,Office,Lagos,High,Traditional,Slow
82,Licra,Yellow,Male,t,2570,normal,Casual,Lagos,High,Casual,Fast
83,Silk,wine,Male,t,6214,festival,Wedding,Kano,Low,Corporate,Slow
84,Jeans,Yellow,Male,t,6306,normal,Party,Ibadan,Low,Casual,Slow
85,Jeans,Blue,Female,t,3805,festival,Party,Lagos,Medium,Traditional,Fast
86,Damask,pitch,Male,t,2990,normal,Wedding,Enugu,Low,Traditional,Fast
87,Jonkoso,Olive,Female,t,7982,festival,Church,Enugu,Low,Fashion,Fast
88,Linen,Blue,Female,t,3706,festival,Party,Abuja,High,Traditional,Fast
89,Silk,Grey,Female,t,5459,festival,Wedding,Enugu,High,Corporate,Slow
90,Damask,White,Male,t,2711,festival,Office,Abuja,High,Corporate,Slow
91,Chinox,pitch,Female,t,7989,festival,Office,Enugu,High,Casual,Fast
92,Damask,wine,Female,t,3765,normal,Party,Abeokuta,Medium,Fashion,Fast
93,Rib,Black,Female,t,2417,festival,Casual,Ibadan,Medium,Corporate,Fast
94,Chinox,Violet,Female,t,3750,festival,Office,Kano,Medium,Fashion,Slow
95,Chinox,Olive,Male,t,6395,normal,Party,Kano,Low,Traditional,Fast
96,Linen,pitch,Female,t,6459,festival,Party,Ibadan,Medium,Corporate,Fast
97,Brocade,Yellow,Male,t,2898,normal,Casual,Abuja,Medium,Traditional,Fast
98,Irish,wine,Male,t,7327,normal,Office,Kano,High,Casual,Fast
99,Crepe,orange,Male,t,3546,normal,Office,Ibadan,High,Casual,Slow
100,Cashmen,Green,Male,t,3945,festival,Church,Abeokuta,High,Corporate,Fast
101,Chinox,Black,Female,t,4762,festival,Church,Benin,High,Corporate,Fast
102,Chinox,pitch,Male,t,2781,normal,Church,Benin,Medium,Traditional,Fast
103,Linen,Blue,Male,t,3719,normal,Office,Lagos,High,Corporate,Fast
104,Brocade,White,Male,t,5308,normal,Party,Kano,Medium,Casual,Slow
105,Silk,pitch,Male,t,2741,normal,Office,Port Harcourt,High,Traditional,Slow
106,Jeans,orange,Female,t,5871,festival,Office,Benin,High,Corporate,Fast
107,Cashmen,magenta,Male,t,2408,festival,Wedding,Lagos,Medium,Casual,Fast
108,Crepe,magenta,Female,t,2993,festival,Office,Enugu,Medium,Traditional,Slow
109,Irish,magenta,Male,t,7893,festival,Casual,Ibadan,Medium,Casual,Slow
110,Brocade,magenta,Male,t,2765,normal,Casual,Ibadan,Low,Traditional,Slow
111,Silk,pitch,Female,t,2991,normal,Wedding,Enugu,Low,Traditional,Fast
112,Sevenstar,Grey,Male,t,2859,festival,Party,Abeokuta,High,Casual,Fast
113,Sevenstar,Red,Female,t,4353,normal,Casual,Enugu,High,Fashion,Fast
114,Crepe,White,Male,t,7256,festival,Party,Abeokuta,High,Casual,Fast
115,Brocade,wine,Male,t,3193,festival,Wedding,Enugu,Low,Corporate,Slow
116,Silk,pitch,Female,t,2849,festival,Wedding,Benin,Medium,Traditional,Fast
117,Chinox,Black,Female,t,2098,normal,Casual,Ibadan,Low,Traditional,Fast
118,Irish,Green,Male,t,3813,normal,Church,Enugu,Low,Traditional,Slow
119,Silk,Black,Female,t,4826,festival,Church,Enugu,Low,Corporate,Slow
120,Irish,magenta,Male,t,4598,festival,Church,Ibadan,High,Traditional,Fast
121,Brocade,Violet,Female,t,7607,normal,Office,Abeokuta,High,Traditional,Slow
122,Silk,orange,Female,t,4891,festival,Church,Lagos,High,Corporate,Fast
123,Silk,Green,Female,t,5167,festival,Church,Port Harcourt,Medium,Casual,Slow
124,Irish,Pink,Male,t,5900,festival,Office,Port Harcourt,Medium,Traditional,Fast
125,Rib,lilac,Female,t,6164,festival,Wedding,Benin,Low,Casual,Slow
126,Cashmen,Black,Male,t,3499,normal,Office,Lagos,High,Traditional,Slow
127,Jeans,Olive,Male,t,5529,festival,Office,Abeokuta,High,Fashion,Fast
128,Rib,Brown,Female,t,6727,festival,Party,Enugu,Medium,Casual,Slow
129,Silk,Cream,Female,t,2240,festival,Wedding,Kano,Medium,Traditional,Fast
130,Damask,magenta,Female,t,3177,normal,Wedding,Abuja,Medium,Corporate,Slow
131,Jonkoso,lilac,Female,t,4413,festival,Party,Benin,High,Traditional,Fast
132,Damask,Cream,Male,t,3668,normal,Church,Kano,Medium,Fashion,Slow
133,Sevenstar,Cream,Male,t,2013,festival,Wedding,Ibadan,Medium,Casual,Fast
134,Jonkoso,Brown,Male,t,4808,normal,Casual,Ibadan,Medium,Casual,Fast
135,Damask,Pink,Female,t,5855,normal,Party,Kano,Low,Casual,Fast
136,Damask,pitch,Female,t,6771,normal,Church,Port Harcourt,High,Traditional,Fast
137,Rib,magenta,Female,t,3668,normal,Casual,Kano,High,Fashion,Slow
138,Rib,Black,Male,t,5939,festival,Wedding,Benin,Low,Fashion,Fast
139,Damask,Red,Male,t,7841,normal,Wedding,Kano,Low,Corporate,Fast
140,Sevenstar,Brown,Female,t,4917,normal,Party,Enugu,High,Corporate,Slow
141,Chinox,Green,Female,t,5395,normal,Church,Enugu,Low,Fashion,Slow
142,Licra,Violet,Male,t,3809,normal,Wedding,Port Harcourt,Low,Casual,Fast
143,Linen,Green,Male,t,3680,normal,Casual,Ibadan,Low,Corporate,Fast
144,Licra,Brown,Male,t,7959,festival,Casual,Abuja,High,Traditional,Fast
145,Brocade,Black,Female,t,3814,normal,Church,Benin,High,Casual,Slow
146,Linen,lilac,Male,t,7714,normal,Church,Kano,High,Casual,Fast
147,Cashmen,wine,Female,t,7478,normal,Church,Abuja,High,Fashion,Slow
148,Milkado,Black,Female,t,2800,normal,Church,Abuja,Low,Fashion,Fast
149,Silk,wine,Male,t,4684,normal,Party,Kano,High,Casual,Fast
150,Cashmen,Olive,Male,t,3695,normal,Church,Lagos,Low,Traditional,Fast
151,Crepe,Brown,Female,t,5010,festival,Church,Abuja,Low,Corporate,Fast
152,Damask,Black,Male,t,7830,normal,Casual,Abuja,Low,Casual,Slow
153,Milkado,Violet,Female,t,2578,festival,Wedding,Ibadan,Low,Corporate,Fast
154,Irish,pitch,Female,t,7827,festival,Wedding,Benin,Low,Fashion,Fast
155,Chinox,lilac,Male,t,4210,festival,Wedding,Port Harcourt,Low,Casual,Fast
156,Brocade,Yellow,Female,t,3172,normal,Party,Lagos,Medium,Corporate,Slow
157,Crepe,Cream,Female,t,2925,festival,Church,Abuja,Low,Traditional,Fast
158,Brocade,wine,Female,t,3665,festival,Office,Kano,High,Fashion,Slow
159,Crepe,Grey,Male,t,6466,normal,Church,Port Harcourt,High,Casual,Fast
160,Chinox,Olive,Male,t,6278,festival,Office,Port Harcourt,Low,Traditional,Fast
161,Milkado,pitch,Male,t,5915,normal,Wedding,Abuja,Medium,Corporate,Slow
162,Jonkoso,Yellow,Male,t,6858,normal,Casual,Abeokuta,High,Traditional,Fast
163,Damask,Blue,Male,t,7433,normal,Party,Abeokuta,Medium,Fashion,Fast
164,Chinox,Black,Male,t,7393,normal,Casual,Benin,Medium,Corporate,Fast
165,Milkado,Yellow,Female,t,3072,festival,Party,Enugu,Medium,Traditional,Fast
166,Crepe,magenta,Female,t,2754,festival,Church,Port Harcourt,High,Traditional,Fast
167,Jonkoso,magenta,Male,t,6999,normal,Wedding,Ibadan,High,Traditional,Fast
168,Jonkoso,Green,Male,t,5415,festival,Church,Ibadan,Medium,Traditional,Slow
169,Silk,pitch,Male,t,7265,festival,Party,Abuja,High,Traditional,Fast
170,Irish,wine,Female,t,6638,normal,Office,Lagos,Low,Corporate,Fast
171,Jeans,Olive,Male,t,2793,normal,Office,Ibadan,High,Corporate,Slow
172,Silk,magenta,Female,t,5301,normal,Office,Enugu,Medium,Casual,Slow
173,Jonkoso,Yellow,Female,t,2591,normal,Party,Kano,High,Corporate,Fast
174,Milkado,Red,Male,t,6465,festival,Church,Port Harcourt,High,Fashion,Fast
175,Jonkoso,Green,Female,t,3764,festival,Party,Kano,Medium,Fashion,Fast
176,Linen,Black,Female,t,7206,normal,Church,Lagos,Low,Corporate,Fast
177,Brocade,Green,Female,t,4092,festival,Casual,Enugu,Low,Corporate,Fast
178,Crepe,Blue,Male,t,3511,festival,Office,Abeokuta,Low,Traditional,Fast
179,Crepe,White,Male,t,6260,normal,Party,Enugu,Low,Traditional,Fast
180,Silk,wine,Male,t,3602,normal,Wedding,Abeokuta,Low,Corporate,Slow
181,Brocade,orange,Female,t,3778,normal,Casual,Abeokuta,High,Fashion,Fast
182,Jonkoso,Yellow,Female,t,5767,normal,Wedding,Abeokuta,High,Fashion,Fast
183,Irish,Olive,Male,t,7583,festival,Party,Port Harcourt,High,Traditional,Fast
184,Linen,orange,Female,t,3090,normal,Wedding,Port Harcourt,Low,Corporate,Fast
185,Jeans,Pink,Female,t,6876,festival,Party,Port Harcourt,Medium,Casual,Slow
186,Irish,Violet,Male,t,5873,festival,Church,Enugu,Low,Fashion,Slow
187,Sevenstar,White,Female,t,2792,festival,Church,Benin,Medium,Corporate,Fast
188,Rib,Green,Female,t,4490,festival,Party,Kano,Medium,Traditional,Fast
189,Cashmen,Red,Female,t,3629,festival,Office,Abuja,Low,Casual,Fast
190,Licra,Olive,Female,t,7804,normal,Church,Enugu,High,Fashion,Fast
191,Silk,Green,Female,t,4211,normal,Casual,Enugu,Medium,Traditional,Slow
192,Jeans,Blue,Female,t,3421,normal,Wedding,Benin,High,Traditional,Fast
193,Rib,orange,Female,t,3891,normal,Casual,Kano,Medium,Fashion,Slow
194,Crepe,Grey,Female,t,3703,festival,Office,Abuja,Medium,Corporate,Slow
195,Crepe,pitch,Female,t,7248,festival,Church,Lagos,Low,Corporate,Slow
196,Rib,White,Female,t,3525,normal,Office,Enugu,Medium,Fashion,Fast
197,Cashmen,Black,Male,t,7850,normal,Church,Enugu,Medium,Casual,Fast
198,Rib,Green,Male,t,7077,festival,Office,Benin,Medium,Casual,Slow
199,Licra,Cream,Female,t,7125,festival,Party,Ibadan,Low,Casual,Slow
200,Cashmen,Grey,Female,t,2452,normal,Church,Kano,Low,Fashion,Fast
201,Milkado,Red,Female,t,6075,festival,Casual,Enugu,High,Traditional,Slow
202,Licra,Green,Male,t,3955,normal,Office,Enugu,High,Corporate,Slow
203,Jeans,Pink,Female,t,3586,normal,Party,Abeokuta,High,Fashion,Fast
204,Licra,Brown,Male,t,3475,festival,Party,Lagos,High,Traditional,Fast
205,Jonkoso,Yellow,Male,t,5456,festival,Casual,Enugu,Medium,Fashion,Fast
206,Silk,Olive,Male,t,6680,festival,Casual,Abuja,High,Fashion,Fast
207,Brocade,pitch,Male,t,3834,normal,Office,Lagos,High,Traditional,Slow
208,Damask,Olive,Male,t,7847,festival,Church,Lagos,Medium,Fashion,Slow
209,Brocade,Yellow,Female,t,4177,festival,Casual,Abeokuta,Low,Traditional,Slow
210,Crepe,pitch,Female,t,5730,normal,Office,Benin,Low,Corporate,Slow
211,Chinox,Grey,Male,t,4354,normal,Office,Lagos,High,Corporate,Slow
212,Silk,Olive,Female,t,2681,festival,Casual,Enugu,High,Fashion,Slow
213,Rib,wine,Male,t,5666,normal,Office,Abuja,High,Traditional,Slow
214,Crepe,Cream,Female,t,7944,normal,Casual,Abuja,Medium,Corporate,Fast
215,Jonkoso,pitch,Female,t,7075,festival,Office,Enugu,High,Corporate,Fast
216,Rib,Blue,Female,t,4176,normal,Wedding,Abeokuta,Medium,Casual,Slow
217,Jonkoso,Blue,Male,t,2277,festival,Wedding,Benin,Low,Fashion,Fast
218,Cashmen,Black,Male,t,2317,festival,Church,Kano,Medium,Fashion,Fast
219,Sevenstar,Olive,Female,t,3661,festival,Office,Kano,Low,Corporate,Slow
220,Rib,Blue,Female,t,5173,normal,Party,Abuja,Medium,Casual,Fast
221,Silk,Blue,Female,t,5432,festival,Wedding,Enugu,High,Traditional,Fast
222,Irish,White,Male,t,3312,festival,Casual,Kano,High,Traditional,Fast
223,Jeans,Violet,Male,t,4310,normal,Wedding,Enugu,High,Traditional,Fast
224,Irish,White,Male,t,7645,festival,Church,Benin,Medium,Fashion,Fast
225,Rib,Black,Female,t,5958,normal,Party,Ibadan,Medium,Traditional,Fast
226,Cashmen,wine,Male,t,6836,normal,Party,Enugu,Medium,Traditional,Fast
227,Irish,Green,Female,t,3618,normal,Church,Abeokuta,Medium,Traditional,Slow
228,Jeans,Yellow,Male,t,3251,normal,Church,Abuja,Medium,Corporate,Slow
229,Damask,magenta,Female,t,4475,normal,Church,Abuja,Medium,Traditional,Slow
230,Crepe,Brown,Male,t,5407,normal,Wedding,Enugu,High,Casual,Slow
231,Damask,Brown,Male,t,4033,festival,Party,Enugu,High,Casual,Slow
232,Rib,Red,Male,t,6049,festival,Office,Ibadan,High,Fashion,Slow
233,Milkado,Grey,Male,t,4061,festival,Church,Port Harcourt,High,Fashion,Fast
234,Rib,Yellow,Male,t,2986,festival,Wedding,Abuja,High,Casual,Fast
235,Jeans,wine,Male,t,7807,normal,Party,Kano,High,Traditional,Fast
236,Jeans,Cream,Female,t,3861,festival,Wedding,Benin,High,Traditional,Fast
237,Silk,orange,Female,t,2483,normal,Casual,Abeokuta,Medium,Traditional,Fast
238,Silk,Cream,Female,t,3956,normal,Wedding,Abeokuta,High,Traditional,Fast
239,Milkado,wine,Male,t,5559,normal,Church,Lagos,Low,Corporate,Slow
240,Crepe,Yellow,Male,t,6756,festival,Party,Lagos,Low,Casual,Fast
241,Jonkoso,Green,Female,t,2158,festival,Party,Port Harcourt,High,Casual,Fast
242,Brocade,magenta,Female,t,2471,festival,Wedding,Kano,Low,Corporate,Slow
243,Damask,magenta,Female,t,7599,normal,Church,Kano,High,Corporate,Fast
244,Chinox,lilac,Female,t,4217,festival,Office,Abeokuta,Medium,Casual,Slow
245,Jeans,Green,Female,t,4728,normal,Church,Abeokuta,Medium,Traditional,Fast
246,Cashmen,Pink,Male,t,7101,normal,Party,Port Harcourt,High,Casual,Slow
247,Silk,Black,Male,t,7934,festival,Wedding,Abeokuta,Medium,Fashion,Fast
248,Chinox,White,Female,t,3998,festival,Wedding,Ibadan,High,Casual,Fast
249,Jeans,Pink,Female,t,5625,festival,Party,Lagos,Low,Corporate,Slow
250,Rib,wine,Female,t,4463,normal,Casual,Ibadan,Low,Corporate,Slow
